model,runtime,group_index,group_key,group_label,group_type,mean_ms,power_gpu_mw,power_total_mw,ops,input_shape,output_shape,param_count
mobilenetv3s,onnxrt_cpu,92,classifier/classifier.1,"92. classifier/classifier.1 [act-eltwise]
params 0",act-eltwise,0.10540000000000001,0.0,0.0,3,,,0.0
mobilenetv3s,onnxrt_cpu,93,classifier/classifier.3,"93. classifier/classifier.3 [fc]
params 0",fc,1.0954,0.0,0.0,2,,,0.0
mobilenetv3s,pytorch_cpu,1,features.0.0,"001. features.0.0 [conv-norm-act]
in 1x3x224x224 | out 1x16x112x112 | params 464",conv-norm-act,9.648776999999999,0.0,0.0,3,1x3x224x224,1x16x112x112,464.0
mobilenetv3s,pytorch_cpu,2,features.1.block.0.0,"002. features.1.block.0.0 [conv-norm-act]
in 1x16x112x112 | out 1x16x56x56 | params 176",conv-norm-act,11.499703,0.0,0.0,3,1x16x112x112,1x16x56x56,176.0
mobilenetv3s,pytorch_cpu,3,features.1.block.1.avgpool,"003. features.1.block.1.avgpool [pool]
in 1x16x56x56 | out 1x16x1x1 | params 0",pool,0.490834,0.0,0.0,1,1x16x56x56,1x16x1x1,0.0
mobilenetv3s,pytorch_cpu,4,features.1.block.1.fc1,"004. features.1.block.1.fc1 [conv-act]
in 1x16x1x1 | out 1x8x1x1 | params 136",conv-act,0.332092,0.0,0.0,2,1x16x1x1,1x8x1x1,136.0
mobilenetv3s,pytorch_cpu,5,features.1.block.1.fc2,"005. features.1.block.1.fc2 [conv-act]
in 1x8x1x1 | out 1x16x1x1 | params 144",conv-act,0.291912,0.0,0.0,2,1x8x1x1,1x16x1x1,144.0
mobilenetv3s,pytorch_cpu,6,features.1.block.2.0,"006. features.1.block.2.0 [conv-norm]
in 1x16x56x56 | out 1x16x56x56 | params 288",conv-norm,2.186261,0.0,0.0,2,1x16x56x56,1x16x56x56,288.0
mobilenetv3s,pytorch_cpu,7,features.2.block.0.0,"007. features.2.block.0.0 [conv-norm-act]
in 1x16x56x56 | out 1x72x56x56 | params 1.3K",conv-norm-act,3.1298340000000002,0.0,0.0,3,1x16x56x56,1x72x56x56,1296.0
mobilenetv3s,pytorch_cpu,8,features.2.block.1.0,"008. features.2.block.1.0 [conv-norm-act]
in 1x72x56x56 | out 1x72x28x28 | params 792",conv-norm-act,18.207487,0.0,0.0,3,1x72x56x56,1x72x28x28,792.0
mobilenetv3s,pytorch_cpu,9,features.2.block.2.0,"009. features.2.block.2.0 [conv-norm]
in 1x72x28x28 | out 1x24x28x28 | params 1.8K",conv-norm,1.778265,0.0,0.0,2,1x72x28x28,1x24x28x28,1776.0
mobilenetv3s,pytorch_cpu,10,features.3.block.0.0,"010. features.3.block.0.0 [conv-norm-act]
in 1x24x28x28 | out 1x88x28x28 | params 2.3K",conv-norm-act,1.5905150000000001,0.0,0.0,3,1x24x28x28,1x88x28x28,2288.0
mobilenetv3s,pytorch_cpu,11,features.3.block.1.0,"011. features.3.block.1.0 [conv-norm-act]
in 1x88x28x28 | out 1x88x28x28 | params 968",conv-norm-act,13.134513,0.0,0.0,3,1x88x28x28,1x88x28x28,968.0
mobilenetv3s,pytorch_cpu,12,features.3.block.2.0,"012. features.3.block.2.0 [conv-norm]
in 1x88x28x28 | out 1x24x28x28 | params 2.2K",conv-norm,1.9170230000000001,0.0,0.0,2,1x88x28x28,1x24x28x28,2160.0
mobilenetv3s,pytorch_cpu,13,features.4.block.0.0,"013. features.4.block.0.0 [conv-norm-act]
in 1x24x28x28 | out 1x96x28x28 | params 2.5K",conv-norm-act,2.056172,0.0,0.0,3,1x24x28x28,1x96x28x28,2496.0
mobilenetv3s,pytorch_cpu,14,features.4.block.1.0,"014. features.4.block.1.0 [conv-norm-act]
in 1x96x28x28 | out 1x96x14x14 | params 2.6K",conv-norm-act,19.482281,0.0,0.0,3,1x96x28x28,1x96x14x14,2592.0
mobilenetv3s,pytorch_cpu,15,features.4.block.2.avgpool,"015. features.4.block.2.avgpool [pool]
in 1x96x14x14 | out 1x96x1x1 | params 0",pool,0.237935,0.0,0.0,1,1x96x14x14,1x96x1x1,0.0
mobilenetv3s,pytorch_cpu,16,features.4.block.2.fc1,"016. features.4.block.2.fc1 [conv-act]
in 1x96x1x1 | out 1x24x1x1 | params 2.3K",conv-act,0.364409,0.0,0.0,2,1x96x1x1,1x24x1x1,2328.0
mobilenetv3s,pytorch_cpu,17,features.4.block.2.fc2,"017. features.4.block.2.fc2 [conv-act]
in 1x24x1x1 | out 1x96x1x1 | params 2.4K",conv-act,0.24940500000000002,0.0,0.0,2,1x24x1x1,1x96x1x1,2400.0
mobilenetv3s,pytorch_cpu,18,features.4.block.3.0,"018. features.4.block.3.0 [conv-norm]
in 1x96x14x14 | out 1x40x14x14 | params 3.9K",conv-norm,1.931223,0.0,0.0,2,1x96x14x14,1x40x14x14,3920.0
mobilenetv3s,pytorch_cpu,19,features.5.block.0.0,"019. features.5.block.0.0 [conv-norm-act]
in 1x40x14x14 | out 1x240x14x14 | params 10.1K",conv-norm-act,1.7973599999999998,0.0,0.0,3,1x40x14x14,1x240x14x14,10080.0
mobilenetv3s,pytorch_cpu,20,features.5.block.1.0,"020. features.5.block.1.0 [conv-norm-act]
in 1x240x14x14 | out 1x240x14x14 | params 6.5K",conv-norm-act,31.679249,0.0,0.0,3,1x240x14x14,1x240x14x14,6480.0
mobilenetv3s,pytorch_cpu,21,features.5.block.2.avgpool,"021. features.5.block.2.avgpool [pool]
in 1x240x14x14 | out 1x240x1x1 | params 0",pool,0.365684,0.0,0.0,1,1x240x14x14,1x240x1x1,0.0
mobilenetv3s,pytorch_cpu,22,features.5.block.2.fc1,"022. features.5.block.2.fc1 [conv-act]
in 1x240x1x1 | out 1x64x1x1 | params 15.4K",conv-act,0.35661600000000004,0.0,0.0,2,1x240x1x1,1x64x1x1,15424.0
mobilenetv3s,pytorch_cpu,23,features.5.block.2.fc2,"023. features.5.block.2.fc2 [conv-act]
in 1x64x1x1 | out 1x240x1x1 | params 15.6K",conv-act,0.352499,0.0,0.0,2,1x64x1x1,1x240x1x1,15600.0
mobilenetv3s,pytorch_cpu,24,features.5.block.3.0,"024. features.5.block.3.0 [conv-norm]
in 1x240x14x14 | out 1x40x14x14 | params 9.7K",conv-norm,2.4341209999999998,0.0,0.0,2,1x240x14x14,1x40x14x14,9680.0
mobilenetv3s,pytorch_cpu,25,features.6.block.0.0,"025. features.6.block.0.0 [conv-norm-act]
in 1x40x14x14 | out 1x240x14x14 | params 10.1K",conv-norm-act,1.933928,0.0,0.0,3,1x40x14x14,1x240x14x14,10080.0
mobilenetv3s,pytorch_cpu,26,features.6.block.1.0,"026. features.6.block.1.0 [conv-norm-act]
in 1x240x14x14 | out 1x240x14x14 | params 6.5K",conv-norm-act,32.559876,0.0,0.0,3,1x240x14x14,1x240x14x14,6480.0
mobilenetv3s,pytorch_cpu,27,features.6.block.2.avgpool,"027. features.6.block.2.avgpool [pool]
in 1x240x14x14 | out 1x240x1x1 | params 0",pool,0.535366,0.0,0.0,1,1x240x14x14,1x240x1x1,0.0
mobilenetv3s,pytorch_cpu,28,features.6.block.2.fc1,"028. features.6.block.2.fc1 [conv-act]
in 1x240x1x1 | out 1x64x1x1 | params 15.4K",conv-act,0.384532,0.0,0.0,2,1x240x1x1,1x64x1x1,15424.0
mobilenetv3s,pytorch_cpu,29,features.6.block.2.fc2,"029. features.6.block.2.fc2 [conv-act]
in 1x64x1x1 | out 1x240x1x1 | params 15.6K",conv-act,0.441333,0.0,0.0,2,1x64x1x1,1x240x1x1,15600.0
mobilenetv3s,pytorch_cpu,30,features.6.block.3.0,"030. features.6.block.3.0 [conv-norm]
in 1x240x14x14 | out 1x40x14x14 | params 9.7K",conv-norm,2.216829,0.0,0.0,2,1x240x14x14,1x40x14x14,9680.0
mobilenetv3s,pytorch_cpu,31,features.7.block.0.0,"031. features.7.block.0.0 [conv-norm-act]
in 1x40x14x14 | out 1x120x14x14 | params 5.0K",conv-norm-act,1.4594230000000001,0.0,0.0,3,1x40x14x14,1x120x14x14,5040.0
mobilenetv3s,pytorch_cpu,32,features.7.block.1.0,"032. features.7.block.1.0 [conv-norm-act]
in 1x120x14x14 | out 1x120x14x14 | params 3.2K",conv-norm-act,16.744779,0.0,0.0,3,1x120x14x14,1x120x14x14,3240.0
mobilenetv3s,pytorch_cpu,33,features.7.block.2.avgpool,"033. features.7.block.2.avgpool [pool]
in 1x120x14x14 | out 1x120x1x1 | params 0",pool,0.234303,0.0,0.0,1,1x120x14x14,1x120x1x1,0.0
mobilenetv3s,pytorch_cpu,34,features.7.block.2.fc1,"034. features.7.block.2.fc1 [conv-act]
in 1x120x1x1 | out 1x32x1x1 | params 3.9K",conv-act,0.312181,0.0,0.0,2,1x120x1x1,1x32x1x1,3872.0
mobilenetv3s,pytorch_cpu,35,features.7.block.2.fc2,"035. features.7.block.2.fc2 [conv-act]
in 1x32x1x1 | out 1x120x1x1 | params 4.0K",conv-act,0.549226,0.0,0.0,2,1x32x1x1,1x120x1x1,3960.0
mobilenetv3s,pytorch_cpu,36,features.7.block.3.0,"036. features.7.block.3.0 [conv-norm]
in 1x120x14x14 | out 1x48x14x14 | params 5.9K",conv-norm,2.286262,0.0,0.0,2,1x120x14x14,1x48x14x14,5856.0
mobilenetv3s,pytorch_cpu,37,features.8.block.0.0,"037. features.8.block.0.0 [conv-norm-act]
in 1x48x14x14 | out 1x144x14x14 | params 7.2K",conv-norm-act,1.5554480000000002,0.0,0.0,3,1x48x14x14,1x144x14x14,7200.0
mobilenetv3s,pytorch_cpu,38,features.8.block.1.0,"038. features.8.block.1.0 [conv-norm-act]
in 1x144x14x14 | out 1x144x14x14 | params 3.9K",conv-norm-act,19.993826000000002,0.0,0.0,3,1x144x14x14,1x144x14x14,3888.0
mobilenetv3s,pytorch_cpu,39,features.8.block.2.avgpool,"039. features.8.block.2.avgpool [pool]
in 1x144x14x14 | out 1x144x1x1 | params 0",pool,0.391027,0.0,0.0,1,1x144x14x14,1x144x1x1,0.0
