layer_index,layer_name,type,module_repr,input_shape,output_shape,param_count,trainable_param_count,in_channels,out_channels,kernel_size,stride,padding,dilation,groups,bias,calls,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,power_gpu_mw,power_total_mw,timestamp
28,features.3.block.2.0,Conv2d,"Conv2d(88, 24, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x88x28x28,1x24x28x28,2112,2112,88,24,1x1,1x1,0x0,1x1,1,False,100,0.560407,0.203062,0.499541,2.540727,0.524438,0.607544,0,0,1777375198.8752432
29,features.3.block.2.1,BatchNorm2d,"BatchNorm2d(24, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x24x28x28,1x24x28x28,48,48,,,,,,,,True,100,0.384636,0.035403,0.35782,0.547302,0.369409,0.467567,0,0,1777375198.8757207
30,features.4.block.0.0,Conv2d,"Conv2d(24, 96, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x24x28x28,1x96x28x28,2304,2304,24,96,1x1,1x1,0x0,1x1,1,False,100,0.457765,0.031956,0.424696,0.571469,0.449019,0.53437,0,0,1777375198.8765876
31,features.4.block.0.1,BatchNorm2d,"BatchNorm2d(96, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x96x28x28,1x96x28x28,192,192,,,,,,,,True,100,0.38703,0.035191,0.35584,0.626887,0.372533,0.438053,0,0,1777375198.877077
32,features.4.block.0.2,Hardswish,Hardswish(),1x96x28x28,1x96x28x28,0,0,,,,,,,,False,100,0.247002,0.021231,0.228234,0.370111,0.237401,0.292678,0,0,1777375198.8774433
33,features.4.block.1.0,Conv2d,"Conv2d(96, 96, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2), groups=96, bias=False)",1x96x28x28,1x96x14x14,2400,2400,96,96,5x5,2x2,2x2,1x1,96,False,100,0.42144,0.015563,0.376362,0.49001,0.420372,0.453972,0,0,1777375198.8779783
34,features.4.block.1.1,BatchNorm2d,"BatchNorm2d(96, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x96x14x14,1x96x14x14,192,192,,,,,,,,True,100,0.384154,0.026206,0.356257,0.482718,0.372768,0.444142,0,0,1777375198.878471
35,features.4.block.1.2,Hardswish,Hardswish(),1x96x14x14,1x96x14x14,0,0,,,,,,,,False,100,0.230274,0.014452,0.215421,0.284016,0.223546,0.252875,0,0,1777375198.8788176
36,features.4.block.2.avgpool,AdaptiveAvgPool2d,AdaptiveAvgPool2d(output_size=1),1x96x14x14,1x96x1x1,0,0,,,,,,,,False,100,0.302291,0.027794,0.277558,0.408654,0.2905,0.382047,0,0,1777375198.8792646
37,features.4.block.2.fc1,Conv2d,"Conv2d(96, 24, kernel_size=(1, 1), stride=(1, 1))",1x96x1x1,1x24x1x1,2328,2328,96,24,1x1,1x1,0x0,1x1,1,True,100,0.697512,0.063432,0.637044,1.089709,0.671081,0.798367,0,0,1777375198.8801558
38,features.4.block.2.activation,ReLU,ReLU(),1x24x1x1,1x24x1x1,0,0,,,,,,,,False,100,0.27046,0.042645,0.245578,0.646055,0.257271,0.315196,0,0,1777375198.8805559
39,features.4.block.2.fc2,Conv2d,"Conv2d(24, 96, kernel_size=(1, 1), stride=(1, 1))",1x24x1x1,1x96x1x1,2400,2400,24,96,1x1,1x1,0x0,1x1,1,True,100,0.657836,0.04651,0.60647,0.873767,0.634179,0.725339,0,0,1777375198.8813171
40,features.4.block.2.scale_activation,Hardsigmoid,Hardsigmoid(),1x96x1x1,1x96x1x1,0,0,,,,,,,,False,100,0.256568,0.023851,0.239641,0.449905,0.248755,0.277339,0,0,1777375198.881698
41,features.4.block.3.0,Conv2d,"Conv2d(96, 40, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x96x14x14,1x40x14x14,3840,3840,96,40,1x1,1x1,0x0,1x1,1,False,100,0.544682,0.14394,0.484593,1.928631,0.513786,0.595377,0,0,1777375198.8825068
42,features.4.block.3.1,BatchNorm2d,"BatchNorm2d(40, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x40x14x14,1x40x14x14,80,80,,,,,,,,True,100,0.401574,0.024409,0.375111,0.495427,0.391961,0.446965,0,0,1777375198.8830152
43,features.5.block.0.0,Conv2d,"Conv2d(40, 240, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x40x14x14,1x240x14x14,9600,9600,40,240,1x1,1x1,0x0,1x1,1,False,100,0.462218,0.043516,0.423706,0.784442,0.453838,0.511322,0,0,1777375198.8836656
44,features.5.block.0.1,BatchNorm2d,"BatchNorm2d(240, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x240x14x14,1x240x14x14,480,480,,,,,,,,True,100,0.401849,0.138219,0.357039,1.705294,0.37743,0.461535,0,0,1777375198.8841996
45,features.5.block.0.2,Hardswish,Hardswish(),1x240x14x14,1x240x14x14,0,0,,,,,,,,False,100,0.243269,0.017115,0.223285,0.302298,0.235161,0.27724,0,0,1777375198.8845642
46,features.5.block.1.0,Conv2d,"Conv2d(240, 240, kernel_size=(5, 5), stride=(1, 1), padding=(2, 2), groups=240, bias=False)",1x240x14x14,1x240x14x14,6000,6000,240,240,5x5,1x1,2x2,1x1,240,False,100,0.640491,0.011893,0.623293,0.703035,0.637903,0.663758,0,0,1777375198.8853214
47,features.5.block.1.1,BatchNorm2d,"BatchNorm2d(240, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x240x14x14,1x240x14x14,480,480,,,,,,,,True,100,0.384716,0.02715,0.361413,0.518604,0.375033,0.446114,0,0,1777375198.8858147
48,features.5.block.1.2,Hardswish,Hardswish(),1x240x14x14,1x240x14x14,0,0,,,,,,,,False,100,0.237135,0.025434,0.21615,0.322819,0.224849,0.304066,0,0,1777375198.8861628
49,features.5.block.2.avgpool,AdaptiveAvgPool2d,AdaptiveAvgPool2d(output_size=1),1x240x14x14,1x240x1x1,0,0,,,,,,,,False,100,0.288669,0.017921,0.266568,0.366049,0.28274,0.313891,0,0,1777375198.8865893
50,features.5.block.2.fc1,Conv2d,"Conv2d(240, 64, kernel_size=(1, 1), stride=(1, 1))",1x240x1x1,1x64x1x1,15424,15424,240,64,1x1,1x1,0x0,1x1,1,True,100,0.689522,0.058133,0.62147,0.964758,0.666211,0.794805,0,0,1777375198.8873394
